,text,level,node,seed
0,“Special Ballot” means the Special Ballot provided for by section 116;,9,Alberta_Election_Act--None--0--None--0--Interpretation--1--1--hh,Special Ballot
1,"any facility not referred to in subclause (i), providing medical treatment or care on an in‑patient basis;",10,Alberta_Election_Act--None--0--None--0--Interpretation--1--1--ll--ii,
2,“poll book” means a poll book referred to in section 100(1);,9,Alberta_Election_Act--None--0--None--0--Interpretation--1--1--v,poll book
3,“register” means the register of electors established under section 13;,9,Alberta_Election_Act--None--0--None--0--Interpretation--1--1--aa,register
4,“oath” includes an affirmation;,9,Alberta_Election_Act--None--0--None--0--Interpretation--1--1--t,oath
5,"a date fixed by the Chief Electoral Officer, in the case of an enumeration, is a Canadian citizen, is 18 years of age or older and is ordinarily resident in Alberta;",10,Alberta_Election_Act--None--0--None--0--Interpretation--1--1--j--ii,
6,"in the case of a by‑election, the period commencing with the issue of a writ for the by‑election and ending 2 months after polling day;",10,Alberta_Election_Act--None--0--None--0--Interpretation--1--1--b.1--iv,
7,"the residence of his or her spouse or adult interdependent partner, a relative or a dependant of the inmate, a relative of his or her spouse or adult interdependent partner or a person with whom the inmate would live but for his or her incarceration;",9,Alberta_Election_Act--None--0--None--0--Interpretation--1--3--b,
8,"If a person leaves his or her residence in Alberta to study at an educational institution outside Alberta, the person is, while pursuing his or her studies outside Alberta, considered to be ordinarily resident in the place where he or she was resident immediately before commencing the studies.",8,Alberta_Election_Act--None--0--None--0--Interpretation--1--2.1,
9,“polling day” means the day fixed for voting at an election;,9,Alberta_Election_Act--None--0--None--0--Interpretation--1--1--w,polling day
10,“returning officer” means a person appointed under this Act as a returning officer and includes a person acting in  the returning officer’s place;,9,Alberta_Election_Act--None--0--None--0--Interpretation--1--1--ee,returning officer
11,"a hospital or a facility under the Mental Health Act, or",10,Alberta_Election_Act--None--0--None--0--Interpretation--1--1--ll--i,
12,The ordinary residence of an inmate who is an elector is the first of the following places for which the inmate knows the address:,8,Alberta_Election_Act--None--0--None--0--Interpretation--1--3,
13,“official agent” means an elector so appointed by a candidate pursuant to this Act;,9,Alberta_Election_Act--None--0--None--0--Interpretation--1--1--u,official agent
14,the last court where the inmate was convicted and sentenced.,9,Alberta_Election_Act--None--0--None--0--Interpretation--1--3--d,
15,“declaration” means a statement in writing in the form provided by the Chief Electoral Officer;,9,Alberta_Election_Act--None--0--None--0--Interpretation--1--1--g.1,declaration
16,the place where he or she is residing in Alberta.,9,Alberta_Election_Act--None--0--None--0--Interpretation--1--2.2--b,
17,"“rejected ballot” means a ballot rejected in accordance with section 111(5), 118(5)(b) or 119;",9,Alberta_Election_Act--None--0--None--0--Interpretation--1--1--cc.1,rejected ballot
18,"who is selected for endorsement as the official candidate of a registered political party for an electoral division, or",10,Alberta_Election_Act--None--0--None--0--Interpretation--1--1--c--i,
19,"polling day, in the case of an election, or",10,Alberta_Election_Act--None--0--None--0--Interpretation--1--1--j--i,
20,“list of electors” means a list of persons entitled to vote at an election;,9,Alberta_Election_Act--None--0--None--0--Interpretation--1--1--q,list of electors
21,"in the case of an election under the Alberta Senate Election Act held separately on a date provided for in an order under section 5(1) of that Act, the period commencing on the date that the order under section 5(1) of that Act is passed and ending 2 months after polling day, and",10,Alberta_Election_Act--None--0--None--0--Interpretation--1--1--b.1--iii.2,
22,“spoiled ballot” means a ballot that has been dealt with in accordance with section 102;,9,Alberta_Election_Act--None--0--None--0--Interpretation--1--1--ii,spoiled ballot
23,the place where he or she was resident immediately before commencing his or her studies;,9,Alberta_Election_Act--None--0--None--0--Interpretation--1--2.2--a,
24,“corrupt practice” means any act or omission that is a corrupt practice under this Act;,9,Alberta_Election_Act--None--0--None--0--Interpretation--1--1--f,corrupt practice
