,text,level,node,lemmas,pos,stops
0,The Chief Electoral Officer shall from time to time,8,Alberta_Election_Act--Appointments--1--None--0--Duties_and_powers_of_Chief_Electoral_Officer--4--2,"['the', 'Chief', 'Electoral', 'Officer', 'shall', 'from', 'time', 'to', 'time']","['DET', 'PROPN', 'PROPN', 'PROPN', 'AUX', 'ADP', 'NOUN', 'ADP', 'NOUN']","[True, False, False, False, False, True, False, True, False]"
1,Identification documents,6,Alberta_Election_Act--Election_Lists--2--None--3--Identification_documents,"['identification', 'document']","['NOUN', 'NOUN']","[False, False]"
2,The returning officer shall,8,Alberta_Election_Act--Post‑Polling‑Day_Procedures--4--None--0--Announcement_of_official_results--138--1,"['the', 'return', 'officer', 'shall']","['DET', 'VERB', 'NOUN', 'AUX']","[True, False, False, False]"
3,"if no candidate can be declared elected because there is an equality of votes for 2 or more candidates, declare that the results of the election are subject to a judicial recount under this Part.",9,Alberta_Election_Act--Post‑Polling‑Day_Procedures--4--None--0--Announcement_of_official_results--138--1--b,"['if', 'no', 'candidate', 'can', 'be', 'declare', 'elect', 'because', 'there', 'be', 'an', 'equality', 'of', 'vote', 'for', '2', 'or', 'more', 'candidate', ',', 'declare', 'that', 'the', 'result', 'of', 'the', 'election', 'be', 'subject', 'to', 'a', 'judicial', 'recount', 'under', 'this', 'Part', '.']","['SCONJ', 'DET', 'NOUN', 'AUX', 'AUX', 'VERB', 'VERB', 'SCONJ', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT', 'VERB', 'SCONJ', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'AUX', 'ADJ', 'ADP', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'PROPN', 'PUNCT']","[True, True, False, True, True, False, False, True, True, True, True, False, True, False, True, False, True, True, False, False, False, True, True, False, True, True, False, True, False, True, True, False, False, True, True, True, False]"
4,"number each objection to a ballot in the poll book, place a corresponding number on the back of the ballot and initial the back of the ballot,",9,Alberta_Election_Act--Post‑Polling‑Day_Procedures--4--None--0--Conduct_of_official_count--137--3.1--c,"['number', 'each', 'objection', 'to', 'a', 'ballot', 'in', 'the', 'poll', 'book', ',', 'place', 'a', 'corresponding', 'number', 'on', 'the', 'back', 'of', 'the', 'ballot', 'and', 'initial', 'the', 'back', 'of', 'the', 'ballot', ',']","['NOUN', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'PUNCT', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'CCONJ', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","[False, True, False, True, True, False, True, True, False, False, False, False, True, False, False, True, True, True, True, True, False, True, False, True, True, True, True, False, False]"
5,"by a printer for printing lists of electors, election addresses or advertisements or notices of election meetings, or",9,Alberta_Election_Act--Corrupt_Practices--6--None--0--Payments_not_constituting_corrupt_practice--182--3--b,"['by', 'a', 'printer', 'for', 'printing', 'list', 'of', 'elector', ',', 'election', 'address', 'or', 'advertisement', 'or', 'notice', 'of', 'election', 'meeting', ',', 'or']","['ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT', 'CCONJ']","[True, True, False, True, False, False, True, False, False, False, False, True, False, True, False, True, False, False, False, True]"
6,"a new election for the electoral division that is the subject of the application shall be commenced under section 39 as if the election were a by‑election within 6 months of the date of the application, and",9,Alberta_Election_Act--Appointments--1--None--0--Duties_and_powers_of_Chief_Electoral_Officer--4--3.6--b,"['a', 'new', 'election', 'for', 'the', 'electoral', 'division', 'that', 'be', 'the', 'subject', 'of', 'the', 'application', 'shall', 'be', 'commence', 'under', 'section', '39', 'as', 'if', 'the', 'election', 'be', 'a', 'by‑election', 'within', '6', 'month', 'of', 'the', 'date', 'of', 'the', 'application', ',', 'and']","['DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'AUX', 'AUX', 'VERB', 'ADP', 'NOUN', 'NUM', 'SCONJ', 'SCONJ', 'DET', 'NOUN', 'AUX', 'DET', 'NOUN', 'ADP', 'NUM', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'CCONJ']","[True, False, False, True, True, False, False, True, True, True, False, True, True, False, False, True, False, True, False, False, True, True, True, False, True, True, False, True, False, False, True, True, False, True, True, False, False, True]"
7,"the application of the person subject to the prohibitions, and",9,Alberta_Election_Act--Corrupt_Practices--6--None--0--Prohibitions_based_on_perjured_evidence--184--0--a,"['the', 'application', 'of', 'the', 'person', 'subject', 'to', 'the', 'prohibition', ',', 'and']","['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'PUNCT', 'CCONJ']","[True, False, True, True, False, False, True, True, False, False, True]"
8,whether or not the person reported the contravention on discovery of the contravention;,9,Alberta_Election_Act--Administrative_Penalties_and_Offences--5--None--0--Administrative_penalties--153.1--3--f,"['whether', 'or', 'not', 'the', 'person', 'report', 'the', 'contravention', 'on', 'discovery', 'of', 'the', 'contravention', ';']","['SCONJ', 'CCONJ', 'PART', 'DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","[True, True, True, True, False, False, True, False, True, False, True, True, False, False]"
9,An elector who believes that his or her personal safety may be at risk if the elector appears in person at a poll or if the elector’s name or address appears in a poll book may apply to vote by Secure Special Ballot.,8,"Alberta_Election_Act--Elections,_By‑Elections_and_Plebiscites--3--None--0--Secure_Special_Ballot--116.1--1","['an', 'elector', 'who', 'believe', 'that', 'his', 'or', 'her', 'personal', 'safety', 'may', 'be', 'at', 'risk', 'if', 'the', 'elector', 'appear', 'in', 'person', 'at', 'a', 'poll', 'or', 'if', 'the', 'elector', '’s', 'name', 'or', 'address', 'appear', 'in', 'a', 'poll', 'book', 'may', 'apply', 'to', 'vote', 'by', 'Secure', 'Special', 'Ballot', '.']","['DET', 'NOUN', 'PRON', 'VERB', 'SCONJ', 'PRON', 'CCONJ', 'PRON', 'ADJ', 'NOUN', 'AUX', 'AUX', 'ADP', 'NOUN', 'SCONJ', 'DET', 'NOUN', 'VERB', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'CCONJ', 'SCONJ', 'DET', 'NOUN', 'PART', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'NOUN', 'AUX', 'VERB', 'PART', 'VERB', 'ADP', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']","[True, False, True, False, True, True, True, True, False, False, True, True, True, False, True, True, False, False, True, False, True, True, False, True, True, True, False, True, True, True, False, False, True, True, False, False, True, False, True, False, True, False, False, False, False]"
